app	status	baseline_programs	post_rejit_programs	error
bpftrace/set	error	0	0	bpftrace script capable exited with rc=127: /usr/local/bin/bpftrace: error while loading shared libraries: libclang-17.so.17: cannot open shared object file: No such file or directory stderr tail: capable: /usr/local/bin/bpftrace: error while loading shared libraries: libclang-17.so.17: cannot open shared object file: No such file or directory biosnoop: /usr/local/bin/bpftrace: error while loading shared libraries: libclang-17.so.17: cannot open shared object file: No such file or directory vfsstat: /usr/local/bin/bpftrace: error while loading shared libraries: libclang-17.so.17: cannot open shared object file: No such file or directory runqlat: /usr/local/bin/bpftrace: error while loading shared libraries: libclang-17.so.17: cannot open shared object file: No such file or directory tcplife: /usr/local/bin/bpftrace: error while loading shared libraries: libclang-17.so.17: cannot open shared object file: No such file or directory
katran	ok	1	1	
katran/wrk	error	0	0	Katran wrk workload failed: unable to connect to 10.100.1.1:8080 Connection timed out
tetragon/observer	error	0	0	Tetragon exited before BPF programs were tracked by shim level=info msg="Starting tetragon" version=v1.8.0-pre.0-77-g77d04203f level=info msg="config settings" config="map[bpf-dir:tetragon bpf-lib:/opt/bpf-benchmark/repo-artifacts/arm64/tetragon btf: cgroup-rate: cluster-name: config-dir: cpuprofile: cri-endpoint: data-cache-size:1024 debug:false disable-kprobe-multi:false enable-ancestors:[] enable-cgidmap:false enable-cgidmap-debug:false enable-cgtrackerid:true enable-cri:false enable-deprecated-tracingpolicy-grpc:false enable-event-metrics:true enable-export-aggregation:false enable-k8s-api:false enable-msg-handling-latency:false enable-pid-set-filter:false enable-pod-annotations:false enable-pod-info:false enable-policy-filter:false enable-policy-filter-cgroup-map:false enable-policy-filter-debug:false enable-process-cred:false enable-process-environment-variables:false enable-process-ns:false enable-tracing-policy-crd:true event-cache-retries:15 event-cache-retry-delay:2 event-queue-size:10000 execve-map-entries:0 execve-map-size: export-aggregation-buffer-size:10000 export-aggregation-window-size:15s export-allowlist: export-denylist: export-file-compress:false export-file-max-backups:5 export-file-max-size-mb:10 export-file-perm:600 export-file-rotation-interval:0s export-filename: export-rate-limit:-1 expose-stack-addresses:false field-filters: filter-environment-variables:[] force-large-progs:false force-small-progs:false generate-docs:false gops-address: health-server-address:127.0.0.1:36817 health-server-interval:10 k8s-controlplane-retry:1 k8s-kubeconfig-path: keep-sensors-on-exit:false kernel: log-file: log-format:text log-level:info memprofile: metrics-label-filter:namespace,workload,pod,binary metrics-server: netns-dir:/var/run/docker/netns/ parents-map-enabled:false parents-map-entries:0 parents-map-size: pprof-address: process-cache-gc-interval:30s process-cache-size:65536 procfs:/proc/ rb-queue-size:65535 rb-size:0 rb-size-total:0 redaction-filters: release-pinned-bpf:true retprobes-cache-size:4096 server-address:127.0.0.1:60875 tracing-policy: tracing-policy-dir:/home/ruoji/github/bpf-opt/code/runner/assets/tetragon_policies use-perf-ring-buffer:false username-metadata:disabled verbose:0]" level=info msg="Tetragon current security context" SELinux="system_u:system_r:spc_t:s0\\x00" AppArmor="" Smack="" Lockdown=none level=info msg="Tetragon pid file creation succeeded" pid=2689 pidfile=/var/run/tetragon/tetragon.pid level=error msg="Failed to execute tetragon" error="struct alignment checks failed: program \\"bpf_alignchecker.o\\" cannot be found (errors: bpf_alignchecker.o: stat bpf_alignchecker.o: no such file or directory;bpf_alignchecker.o.gz: stat bpf_alignchecker.o.gz: no such file or directory;/opt/bpf-benchmark/repo-artifacts/arm64/tetragon/bpf_alignchecker.o: stat /opt/bpf-benchmark/repo-artifacts/arm64/tetragon/bpf_alignchecker.o: no such file or directory;/opt/bpf-benchmark/repo-artifacts/arm64/tetragon/bpf_alignchecker.o.gz: stat /opt/bpf-benchmark/repo-artifacts/arm64/tetragon/bpf_alignchecker.o.gz: no such file or directory)"
tracee/monitor	error	167	0	shim socket /var/run/bpfrejit/shim-3457.sock request failed: [Errno 104] Connection reset by peer
