app	program_id	prog_name	bpfopt_ms	sites_matched	sites_applied	sites_skipped	insn_delta
tracee/monitor	143	sched_process_e	30	13	0	13	0
tracee/monitor	144	tracepoint__sch	16	1	0	1	0
tracee/monitor	145	syscall__accept	540	97	0	97	0
tracee/monitor	146	tracepoint__sch	523	104	0	104	0
tracee/monitor	147	trace_filldir64	456	93	0	93	0
tracee/monitor	148	trace_call_user	3925	314	0	314	0
tracee/monitor	149	trace_do_exit	421	90	0	90	0
tracee/monitor	150	uprobe_syscall_	20757	153	0	153	0
tracee/monitor	151	uprobe_seq_ops_	285	37	0	37	0
tracee/monitor	152	uprobe_mem_dump	317	31	0	31	0
tracee/monitor	153	trace_security_	777	109	0	109	0
tracee/monitor	154	trace_tracepoin	650	114	0	114	0
tracee/monitor	155	tracepoint__cgr	552	104	0	104	0
tracee/monitor	156	tracepoint__cgr	598	101	0	101	0
tracee/monitor	157	tracepoint__cgr	507	101	0	101	0
tracee/monitor	158	trace_security_	6797	303	0	303	0
tracee/monitor	159	trace_security_	2638	100	0	100	0
tracee/monitor	160	trace_security_	1785	86	0	86	0
tracee/monitor	161	trace_security_	586	84	0	84	0
tracee/monitor	162	trace_commit_cr	686	96	0	96	0
tracee/monitor	163	trace_switch_ta	623	103	0	103	0
tracee/monitor	164	trace_cap_capab	549	89	0	89	0
tracee/monitor	165	trace_security_	596	96	0	96	0
tracee/monitor	166	trace_security_	498	55	0	55	0
tracee/monitor	167	trace_proc_crea	441	95	0	95	0
tracee/monitor	168	trace___debugfs	548	86	0	86	0
tracee/monitor	169	trace_debugfs_c	513	82	0	82	0
tracee/monitor	170	trace_security_	587	96	0	96	0
tracee/monitor	171	trace_security_	621	101	0	101	0
tracee/monitor	172	trace_security_	741	97	0	97	0
tracee/monitor	173	trace_security_	575	97	0	97	0
tracee/monitor	174	trace_security_	671	99	0	99	0
tracee/monitor	175	send_bin	26	16	0	16	0
tracee/monitor	176	send_bin_tp	77	16	0	16	0
tracee/monitor	177	trace_vfs_write	11	0	0	0	0
tracee/monitor	178	vfs_write_magic	15	0	0	0	0
tracee/monitor	179	trace_ret_vfs_w	1929	92	0	92	0
tracee/monitor	180	vfs_write_magic	2864	127	0	127	0
tracee/monitor	181	trace_ret_vfs_w	4876	92	0	92	0
tracee/monitor	182	trace_vfs_write	14	0	0	0	0
tracee/monitor	183	vfs_writev_magi	10	0	0	0	0
tracee/monitor	184	trace_ret_vfs_w	1958	92	0	92	0
tracee/monitor	185	vfs_writev_magi	2793	127	0	127	0
tracee/monitor	186	trace_ret_vfs_w	4859	96	0	96	0
tracee/monitor	187	trace_kernel_wr	19	0	0	0	0
tracee/monitor	188	kernel_write_ma	28	0	0	0	0
tracee/monitor	189	trace_ret_kerne	1988	92	0	92	0
tracee/monitor	190	kernel_write_ma	2678	127	0	127	0
tracee/monitor	191	trace_ret_kerne	4846	92	0	92	0
tracee/monitor	192	trace_vfs_read	21	0	0	0	0
tracee/monitor	193	trace_ret_vfs_r	1922	92	0	92	0
tracee/monitor	194	trace_ret_vfs_r	1654	46	0	46	0
tracee/monitor	195	trace_vfs_readv	9	0	0	0	0
tracee/monitor	196	trace_ret_vfs_r	2259	92	0	92	0
tracee/monitor	197	trace_ret_vfs_r	1646	47	0	47	0
tracee/monitor	198	trace_mmap_aler	2016	91	0	91	0
tracee/monitor	199	trace_do_mmap	14	0	0	0	0
tracee/monitor	200	trace_ret_do_mm	1924	77	0	77	0
tracee/monitor	201	trace_security_	7436	191	0	191	0
tracee/monitor	202	trace_security_	6586	122	0	122	0
tracee/monitor	203	syscall__init_m	16	6	0	6	0
tracee/monitor	204	trace_security_	1474	135	0	135	0
tracee/monitor	205	trace_register_	31	0	0	0	0
tracee/monitor	206	trace_ret_regis	518	97	0	97	0
tracee/monitor	207	trace_security_	468	99	0	99	0
tracee/monitor	208	trace_security_	609	115	0	115	0
tracee/monitor	209	trace_bpf_check	284	88	0	88	0
tracee/monitor	210	trace_check_map	318	93	0	93	0
tracee/monitor	211	trace_check_hel	313	93	0	93	0
tracee/monitor	212	trace_security_	1772	83	0	83	0
tracee/monitor	213	trace_security_	1716	66	0	66	0
tracee/monitor	214	trace_security_	505	64	0	64	0
tracee/monitor	215	trace_device_ad	562	98	0	98	0
tracee/monitor	216	trace___registe	12	0	0	0	0
tracee/monitor	217	trace_ret__regi	559	102	0	102	0
tracee/monitor	218	trace_do_splice	15	0	0	0	0
tracee/monitor	219	trace_ret_do_sp	2035	90	0	90	0
tracee/monitor	220	tracepoint__mod	2106	100	0	100	0
tracee/monitor	221	tracepoint__mod	537	104	0	104	0
tracee/monitor	222	trace_do_init_m	9	0	0	0	0
tracee/monitor	223	trace_ret_do_in	1416	198	0	198	0
tracee/monitor	224	trace_load_elf_	1715	69	0	69	0
tracee/monitor	225	trace_security_	552	99	0	99	0
tracee/monitor	226	tracepoint__tas	466	98	0	98	0
tracee/monitor	227	trace_security_	526	60	0	60	0
tracee/monitor	228	trace_kallsyms_	9	0	0	0	0
tracee/monitor	229	trace_ret_kalls	480	96	0	96	0
tracee/monitor	230	trace_do_sigact	746	111	0	111	0
tracee/monitor	231	trace_vfs_utime	1874	82	0	82	0
tracee/monitor	232	trace_utimes_co	2188	82	0	82	0
tracee/monitor	233	trace_do_trunca	545	83	0	83	0
tracee/monitor	234	trace_fd_instal	1504	88	0	88	0
tracee/monitor	235	trace_filp_clos	1473	88	0	88	0
tracee/monitor	236	trace_file_upda	12	0	0	0	0
tracee/monitor	237	trace_ret_file_	1861	74	0	74	0
tracee/monitor	238	trace_file_modi	13	0	0	0	0
tracee/monitor	239	trace_ret_file_	1860	57	0	57	0
tracee/monitor	240	trace_inotify_f	19	0	0	0	0
tracee/monitor	241	trace_ret_inoti	1710	79	0	79	0
tracee/monitor	242	process_execute	684	13	0	13	0
tracee/monitor	243	trace_exec_binp	1591	92	0	92	0
tracee/monitor	244	trace_security_	1649	82	0	82	0
tracee/monitor	245	trace_execute_f	3830	280	0	280	0
tracee/monitor	246	trace_security_	1757	82	0	82	0
tracee/monitor	247	trace_set_fs_pw	1828	100	0	100	0
tracee/monitor	248	trace_security_	607	100	0	100	0
tracee/monitor	249	trace_security_	506	96	0	96	0
tracee/monitor	250	trace_chmod_com	1583	76	0	76	0
tracee/monitor	251	trace_security_	12100	152	0	152	0
tracee/monitor	252	syscall_checker	2974	184	0	184	0
tracee/monitor	253	trace_security_	486	55	0	55	0
tracee/monitor	254	trace_sock_allo	18	0	0	0	0
tracee/monitor	255	trace_ret_sock_	440	98	0	98	0
tracee/monitor	256	trace_security_	11	0	0	0	0
tracee/monitor	257	trace_security_	456	96	0	96	0
tracee/monitor	258	trace_security_	562	96	0	96	0
tracee/monitor	259	cgroup_bpf_run_	170	15	0	15	0
tracee/monitor	261	cgroup_skb_ingr	2957	671	0	671	0
tracee/monitor	262	cgroup_skb_egre	2745	671	0	671	0
tracee/monitor	263	cgroup_mkdir_si	25	12	0	12	0
tracee/monitor	264	cgroup_rmdir_si	25	12	0	12	0
tracee/monitor	265	empty_kprobe	12	0	0	0	0
tracee/monitor	266	tracepoint__exe	21565	592	0	592	0
tracee/monitor	267	lsm_file_open_t	615	88	0	88	0
tracee/monitor	268	uprobe__feature	173	21	0	21	0
tracee/monitor	269	uprobe__feature	41	6	0	6	0
tracee/monitor	270	uprobe__feature	39	6	0	6	0
tracee/monitor	271	uprobe__feature	40	6	0	6	0
