app	program_id	prog_name	bpfopt_ms	sites_matched	sites_applied	sites_skipped	insn_delta
katran	82	balancer_ingres	11322	224	0	224	0
tracee/monitor	104	tracepoint__raw	10	1	0	1	0
tracee/monitor	105	sys_enter_init	43	2	0	2	0
tracee/monitor	106	sys_enter_submi	1869	88	0	88	0
tracee/monitor	107	tracepoint__raw	21	1	0	1	0
tracee/monitor	108	sys_exit_init	38	2	0	2	0
tracee/monitor	109	sys_exit_submit	933	131	0	131	0
tracee/monitor	110	trace_sys_enter	443	91	0	91	0
tracee/monitor	111	trace_sys_exit	474	91	0	91	0
tracee/monitor	112	trace_ptrace	41	2	0	2	0
tracee/monitor	113	trace_ret_ptrac	1004	129	0	129	0
tracee/monitor	114	trace_process_v	41	2	0	2	0
tracee/monitor	115	trace_ret_proce	928	129	0	129	0
tracee/monitor	116	trace_arch_prct	45	2	0	2	0
tracee/monitor	117	trace_ret_arch_	895	129	0	129	0
tracee/monitor	118	trace_dup	55	2	0	2	0
tracee/monitor	119	trace_ret_dup	891	129	0	129	0
tracee/monitor	120	trace_dup2	42	2	0	2	0
tracee/monitor	121	trace_ret_dup2	917	129	0	129	0
tracee/monitor	122	trace_dup3	42	2	0	2	0
tracee/monitor	123	trace_ret_dup3	908	129	0	129	0
tracee/monitor	124	syscall__execve	3009	325	0	325	0
tracee/monitor	125	syscall__execve	3072	327	0	327	0
tracee/monitor	126	syscall__execve	3176	329	0	329	0
tracee/monitor	127	syscall__execve	3495	331	0	331	0
tracee/monitor	128	sys_dup_exit_ta	784	110	0	110	0
tracee/monitor	129	tracepoint__sch	2520	185	0	185	0
tracee/monitor	130	sched_process_f	232	43	0	43	0
tracee/monitor	131	lkm_seeker_modt	25066	290	0	290	0
tracee/monitor	132	heartbeat_captu	32	0	0	0	0
tracee/monitor	133	uprobe_lkm_seek	289	37	0	37	0
tracee/monitor	134	uprobe_lkm_seek	209	27	0	27	0
tracee/monitor	135	lkm_seeker_kset	26817	259	0	259	0
tracee/monitor	136	lkm_seeker_mod_	21	4	0	4	0
tracee/monitor	137	lkm_seeker_proc	24542	271	0	271	0
tracee/monitor	138	lkm_seeker_new_	112	17	0	17	0
tracee/monitor	139	tracepoint__sch	2429	142	0	142	0
tracee/monitor	140	sched_process_e	3026	63	0	63	0
tracee/monitor	141	sched_process_e	2515	35	0	35	0
tracee/monitor	142	tracepoint__sch	597	101	0	101	0
