program_id	prog_name	bpfopt_ms	sites_matched	sites_skipped
135	lkm_seeker_kset	26817	259	259
131	lkm_seeker_modt	25066	290	290
137	lkm_seeker_proc	24542	271	271
266	tracepoint__exe	21565	592	592
150	uprobe_syscall_	20757	153	153
251	trace_security_	12100	152	152
201	trace_security_	7436	191	191
158	trace_security_	6797	303	303
202	trace_security_	6586	122	122
181	trace_ret_vfs_w	4876	92	92
186	trace_ret_vfs_w	4859	96	96
191	trace_ret_kerne	4846	92	92
148	trace_call_user	3925	314	314
245	trace_execute_f	3830	280	280
127	syscall__execve	3495	331	331
126	syscall__execve	3176	329	329
125	syscall__execve	3072	327	327
140	sched_process_e	3026	63	63
124	syscall__execve	3009	325	325
252	syscall_checker	2974	184	184
