attempt	benchmarks	runs	failed_samples	status	object_count	kfunc_symbols	arm64_rev_symbols	arm64_extr_symbols	x86_symbols
rev-only	29	58	0	completed	29	2	2	0	0
extr-only	29	58	0	completed	29	7	0	7	0
rev-extr	29	58	0	completed	29	9	2	7	0
