attempt	token	instance_id	instance_type	launch_time_utc	terminate_time_utc	wall_seconds	ec2_usd	ebs_usd	total_usd	state
rev-only	u	i-0930808d66eba1e7b	t4g.small	2026-05-22T04:01:12+00:00	2026-05-22T04:07:12+00:00	360	0.001680000	0.000350685	0.002030685	terminated
extr-only	f85pcqup	i-0b545ee9325d42604	t4g.small	2026-05-22T04:11:17+00:00	2026-05-22T04:16:56+00:00	339	0.001582000	0.000330228	0.001912228	terminated
rev-extr	4nk44	i-0c0f4cae1378b62c1	t4g.small	2026-05-22T04:19:23+00:00	2026-05-22T04:24:52+00:00	329	0.001535333	0.000320487	0.001855820	terminated
