bcc_runqlat_log2_histogram_bucket.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_leaq
bcc_runqlat_log2_histogram_bucket.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_movl
bcc_runqlat_log2_histogram_bucket.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_movzbl
bcc_runqlat_log2_histogram_bucket.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_leal
bcc_tcpconnect_ipv4_tuple_filter.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_leaq
bcc_tcpconnect_ipv4_tuple_filter.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_movl
bcc_tcpconnect_ipv4_tuple_filter.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_rorxl
bcc_tcpconnect_ipv4_tuple_filter.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_leal
bitmap_popcount_scan.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_leaq
bitmap_popcount_scan.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_movl
bitmap_popcount_scan.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_popcntq
bpf_local_call_fanout_dispatch.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_leaq
bpf_local_call_fanout_dispatch.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_movl
bpf_local_call_fanout_dispatch.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_leal
bpftrace_comm_key_fnv_hash.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_leaq
bpftrace_comm_key_fnv_hash.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_movl
bpftrace_comm_key_fnv_hash.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_leal
bpftrace_string_search_prefix_scan.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_leaq
bpftrace_string_search_prefix_scan.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_movl
bpftrace_string_search_prefix_scan.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_leal
bpftrace_string_search_prefix_scan.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_rolq
cgroup_skb_hash_chain.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_leaq
cgroup_skb_hash_chain.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_movl
cilium_ct_nat_tuple_rewrite.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_leaq
cilium_ct_nat_tuple_rewrite.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_movl
cilium_ct_nat_tuple_rewrite.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_rorxl
cilium_policy_guard_tree_filter.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_leaq
cilium_policy_guard_tree_filter.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_movl
cilium_policy_guard_tree_filter.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_leal
cilium_policy_guard_tree_filter.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_shldq
cilium_socket_lb_service_select.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_leaq
cilium_socket_lb_service_select.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_movl
cilium_socket_lb_service_select.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_leal
flow_5tuple_rss_hash.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_leaq
flow_5tuple_rss_hash.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_movbe16
flow_5tuple_rss_hash.bpf.o	0000000000000000         *UND*	0000000000000000 bpf_x86_movbe32
