[vm] kernel: 7.0.0-rc2+
program                         native_lab_ns  kernel_jit_ns         ratio
---------------------------------------------------------------------------
helper_only_ktime                         28            28         1.000
helper_get_pid_tgid                        5             6         0.833
helper_chain_simple                       33            31         1.065
map_array_lookup                          19            17         1.118
map_array_index_packet                    19            18         1.056
map_hash_lookup                           81            81         1.000
map_hash_str_key                          85            86         0.988
map_percpu_array                          19            18         1.056
map_lru_hash_counter                     230           229         1.004
map_percpu_hash_counter                   75            75         1.000
combined_helper_map                       38            38         1.000
multi_map_policy                         196           137         1.431
packet_5tuple_classify                    88            93         0.946
stats_mixed_helpers                      218           173         1.260
