run	benchmark	control_exec_ns	treatment_exec_ns	exec_ratio	control_prog_run_wall_ns	treatment_prog_run_wall_ns	prog_run_wall_ratio	control_cycles	treatment_cycles	cycles_ratio	control_bpf_bytecode_bytes	treatment_bpf_bytecode_bytes	bpf_bytecode_delta	control_native_code_bytes	treatment_native_code_bytes	native_code_delta	control_prfm_sample00	treatment_prfm_sample00
r1	prefetch_hot_l1_load	228	180	0.7894736842105263	49227105	49868395	1.0130271727333955	48706881	49123197	1.0085473754724716	728	760	32	464	472	8	0	2
r1	prefetch_sequential_scan	414	382	0.9227053140096618	69873178	59858675	0.856676005204744	103703262	104080686	1.0036394612157908	744	792	48	520	528	8	0	3
r1	prefetch_large_stride_scan	2589	2587	0.9992275009656237	289889855	269805134	0.9307160266094858	646613243	646251353	0.9994403300521328	1008	1040	32	656	664	8	0	2
r1	prefetch_permuted_index_scan	520	522	1.0038461538461538	79918634	79888626	0.9996245181067535	129871001	130331881	1.003548752196035	920	968	48	584	600	16	0	3
r1	prefetch_packet_first_deref	4036	4029	0.9982656095143707	419868377	419884950	1.0000394718938312	1008040052	1005775527	0.9977535366818937	1080	1112	32	704	712	8	0	2
r2	prefetch_hot_l1_load	211	182	0.8625592417061612	49860547	49918978	1.0011718884672485	48936481	49151638	1.0043966585991337	728	760	32	464	472	8	0	2
r2	prefetch_sequential_scan	449	382	0.8507795100222717	69880216	59898316	0.8571569956223375	103938760	104092817	1.0014821900896258	744	792	48	520	528	8	0	3
r2	prefetch_large_stride_scan	2588	2597	1.0034775888717156	269857746	280024085	1.0376729560321756	646538476	646509877	0.9999557659736248	1008	1040	32	656	664	8	0	2
r2	prefetch_permuted_index_scan	524	522	0.9961832061068703	79865896	99859641	1.2503414598892122	130093579	130404664	1.0023912402317718	920	968	48	584	600	16	0	3
r2	prefetch_packet_first_deref	4042	4030	0.9970311726867888	419882936	419857228	0.9999387734108823	1009415627	1005635501	0.9962551342589825	1080	1112	32	704	712	8	0	2
r3	prefetch_hot_l1_load	182	196	1.0769230769230769	49980910	69859081	1.3977152676892037	49617543	49010588	0.9877673305991794	728	760	32	464	472	8	0	2
r3	prefetch_sequential_scan	381	416	1.0918635170603674	59868887	69875450	1.1671412899324485	103870628	104153585	1.0027241290964373	744	792	48	520	528	8	0	3
r3	prefetch_large_stride_scan	2588	2587	0.999613601236476	269934538	269851715	0.9996931737575575	646628453	646227388	0.9993797597397095	1008	1040	32	656	664	8	0	2
r3	prefetch_permuted_index_scan	520	522	1.0038461538461538	89890834	79865723	0.8884746024272063	129991910	130621942	1.0048467016139697	920	968	48	584	600	16	0	3
r3	prefetch_packet_first_deref	4036	4028	0.998017839444995	419938474	419887059	0.9998775653978301	1008008321	1005703735	0.9977137232382033	1080	1112	32	704	712	8	0	2
