metric	value
exec_ns_geomean_treatment_over_control_r1	0.938848822
prog_run_wall_ns_geomean_treatment_over_control_r1	0.958124149
exec_ns_geomean_treatment_over_control_r2	0.939360549
prog_run_wall_ns_geomean_treatment_over_control_r2	1.02170687
exec_ns_geomean_treatment_over_control_r3	1.03323267
prog_run_wall_ns_geomean_treatment_over_control_r3	1.07696141
exec_ns_geomean_treatment_over_control_all_case_runs	0.969487107
prog_run_wall_ns_geomean_treatment_over_control_all_case_runs	1.01776946
cycles_geomean_treatment_over_control_all_case_runs	1.00064527
