benchmark	ratios_by_run	median_ratio	min_ratio	max_ratio	classification
prefetch_hot_l1_load	0.789473684,0.862559242,1.07692308	0.862559242	0.789473684	1.07692308	mixed
prefetch_large_stride_scan	0.999227501,1.00347759,0.999613601	0.999613601	0.999227501	1.00347759	mixed
prefetch_packet_first_deref	0.99826561,0.997031173,0.998017839	0.998017839	0.997031173	0.99826561	stable_win
prefetch_permuted_index_scan	1.00384615,0.996183206,1.00384615	1.00384615	0.996183206	1.00384615	mixed
prefetch_sequential_scan	0.922705314,0.85077951,1.09186352	0.922705314	0.85077951	1.09186352	mixed
