app	app_status	programs	program_ok	program_error	total_bpfopt_ms	sites_matched	sites_applied	sites_skipped	diagnostics_len	app_error
bcc/set	error	0	0	0	0	0	0	0	0	BCC tool biosnoop exited with rc=1: libbpf: prog 'blk_account_io_start': failed to attach: ERROR: strerror_r(-524)=22 failed to attach blk_account_io_start: Unknown error 524 stderr tail: biosnoop: libbpf: prog 'blk_account_io_start': faile
bpftrace/set	error	0	0	0	0	0	0	0	0	bpftrace script capable exited with rc=127: /usr/local/bin/bpftrace: error while loading shared libraries: libclang-17.so.17: cannot open shared object file: No such file or directory stderr tail: capable: /usr/local/bin/bpftrace: error whi
cilium/agent	error	0	0	0	0	0	0	0	0	native app did not load any shim-tracked BPF programs within 1200.0s
katran	ok	1	1	0	148	224	0	224	0	
katran/wrk	error	0	0	0	0	0	0	0	0	Katran wrk workload failed: unable to connect to 10.100.1.1:8080 Connection timed out
otelcol-ebpf-profiler/profiling	error	0	0	0	0	0	0	0	0	native app did not load any shim-tracked BPF programs within 200.0s
tetragon/observer	error	0	0	0	0	0	0	0	0	Tetragon exited before BPF programs were tracked by shim level=info msg="Starting tetragon" version=v1.8.0-pre.0-77-g77d04203f level=info msg="config settings" config="map[bpf-dir:tetragon bpf-lib:/opt/bpf-benchmark/repo-artifacts/arm64/tet
tracee/monitor	error	0	0	0	0	0	0	0	0	shim socket /var/run/bpfrejit/shim-4960.sock returned empty response
