group	result_dir	status	benchmarks	runtimes	samples	failed_samples
baseline	aws_arm64_micro_20260526_082413_267034	completed	31	kernel,native	186	0
control-disabled	aws_arm64_micro_20260526_083406_399615	completed	31	kernel,native	186	0
treatment-ccmp-only	aws_arm64_micro_20260526_084913_117561	completed	31	kernel,native	186	0
