rep	condition	pass	result_dir	token	instance	exec_ns_median	wall_exec_ns_median	exec_cycles_median	jited_prog_len_median	xlated_prog_len_median	exec_ns_mean	wall_exec_ns_mean	exec_cycles_mean	result_values	retval_values	inner_repeat
1	control	noop	aws_x86_micro_20260601_231529_057545	x7s9v	i-0327e6690949d44a2	7827	12998	32496	494	920	8324.2	12998.8	32497.4	5171437513957054730	2	10000
1	treatment	prefetch	aws_x86_micro_20260601_232136_911736	v	i-0796b7e96f711daf9	8448	11104	27760	498	936	8448.4	11112.6	27781.6	5171437513957054730	2	10000
2	control	noop	aws_x86_micro_20260601_232921_956048	42	i-0242b2a47332d9b69	7840	12998	32495	494	920	8663	12598.8	31497	5171437513957054730	2	10000
2	treatment	prefetch	aws_x86_micro_20260601_233617_042359	y5	i-01edc6c440e90fe84	7932	12999	32497	498	936	8385.8	12799.4	31998.8	5171437513957054730	2	10000
3	control	noop	aws_x86_micro_20260601_234227_898339	hok4m	i-0a47035f7459d8967	7946	12998	32495	494	920	8410	13197.8	32994.8	5171437513957054730	2	10000
3	treatment	prefetch	aws_x86_micro_20260601_235047_421249	15j5	i-010f63d09b5148e47	7877	11997	29993	498	936	7899.2	12198.8	30497.6	5171437513957054730	2	10000
