rep	exec_ns_control_median	exec_ns_treatment_median	exec_ns_treatment_over_control	wall_exec_ns_control_median	wall_exec_ns_treatment_median	wall_exec_ns_treatment_over_control	exec_cycles_control_median	exec_cycles_treatment_median	exec_cycles_treatment_over_control	jited_prog_len_control_median	jited_prog_len_treatment_median	jited_prog_len_treatment_over_control	xlated_prog_len_control_median	xlated_prog_len_treatment_median	xlated_prog_len_treatment_over_control
1	7827	8448	1.0793407435799156	12998	11104	0.8542852746576396	32496	27760	0.8542589857213195	494	498	1.008097165991903	920	936	1.017391304347826
2	7840	7932	1.011734693877551	12998	12999	1.0000769349130636	32495	32497	1.0000615479304509	494	498	1.008097165991903	920	936	1.017391304347826
3	7946	7877	0.991316385602819	12998	11997	0.9229881520233882	32495	29993	0.923003539006001	494	498	1.008097165991903	920	936	1.017391304347826
geomean			1.0267841743002215			0.9238699029765638			0.9238608217762149			1.008097165991903			1.017391304347826
median-ratio			1.011734693877551			0.9229881520233882			0.923003539006001			1.008097165991903			1.017391304347826
