case	sites_matched	sites_applied	sites_skipped	insn_count_before	insn_count_after	insn_delta	first_diagnostics
future_candidate_diagnostics	8	0	8	447	447	0	site at PC=62: prefetch_candidate source=map-value ptr_reg=r8 ptr_root_pc=43 ptr_def_pc=43 mem_off=0 dependent_load_depth=0 hint=default | site at PC=63: prefetch_candidate source=map-value ptr_reg=r8 ptr_root_pc=43 ptr_def_pc=43 mem_off=1 dependent_load_depth=0 hint=default | site at PC=66: prefetch_candidate source=map-value ptr_reg=r8 ptr_root_pc=43 ptr_def_pc=43 mem_off=2 dependent_load_depth=0 hint=default
stream_degree1_invalid_candidate_diagnostics	0	0	0	348	348	0	
future_profile_smoke	9	1	8	447	449	2	site at PC=62: prefetch_candidate source=map-value-profile-point ptr_reg=r8 ptr_root_pc=43 ptr_def_pc=43 mem_off=0 dependent_load_depth=0 hint=l1keep | site at PC=62: prefetch_candidate source=map-value ptr_reg=r8 ptr_root_pc=43 ptr_def_pc=43 mem_off=0 dependent_load_depth=0 hint=default | site at PC=63: prefetch_candidate source=map-value ptr_reg=r8 ptr_root_pc=43 ptr_def_pc=43 mem_off=1 dependent_load_depth=0 hint=default
stream_degree1_profile_smoke	17	1	16	358	360	2	site at PC=24: prefetch_candidate source=map-value-profile-point ptr_reg=r9 ptr_root_pc=23 ptr_def_pc=23 mem_off=0 dependent_load_depth=0 hint=l1keep | site at PC=67: prefetch_candidate source=map-value ptr_reg=r1 ptr_root_pc=30 ptr_def_pc=30 mem_off=0 dependent_load_depth=0 hint=default | site at PC=68: prefetch_candidate source=map-value ptr_reg=r1 ptr_root_pc=30 ptr_def_pc=30 mem_off=1 dependent_load_depth=0 hint=default
