dataset,root,app,workload,sample_index,metric,unit,baseline,post,ratio_post_over_baseline,bpf_stats,samples,workload_seconds,generated_at
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,bcc/set,stress_ng_bcc_hook_hot,2,workload:stress:cap:ops_total_per_s,ops/s,302450.6666666667,301965.3,0.998395220377538,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,bcc/set,stress_ng_bcc_hook_hot,2,workload:stress:set:ops_s,ops/s,23345.0,22856.52,0.9790756050546155,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,bcc/set,stress_ng_bcc_hook_hot,2,workload:stress:set:ops_total_per_s,ops/s,23345.0,22856.533333333333,0.9790761761976154,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,bcc/set,stress_ng_bcc_hook_hot,2,workload:stress:sockfd:ops_s,ops/s,225270.71,221557.58,0.9835170315750326,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,bcc/set,stress_ng_bcc_hook_hot,2,workload:stress:sockfd:ops_total_per_s,ops/s,225277.43333333332,221564.43333333332,0.9835181005702154,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,bcc/set,stress_ng_bcc_hook_hot,2,workload:stress:syscall:ops_s,ops/s,16.58,16.58,1.0,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,bcc/set,stress_ng_bcc_hook_hot,2,workload:stress:syscall:ops_total_per_s,ops/s,16.580645161290324,16.580645161290324,1.0,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,0,workload:stress:cap:ops_s,ops/s,68833.49,65935.64,0.9579005800810041,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,0,workload:stress:cap:ops_total_per_s,ops/s,68833.5,65935.73333333334,0.9579017968479496,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,0,workload:stress:eventfd:ops_s,ops/s,37839.97,36548.83,0.965878937007614,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,0,workload:stress:eventfd:ops_total_per_s,ops/s,37840.23333333333,36549.36666666667,0.9658863978111483,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,0,workload:stress:futex:ops_s,ops/s,79304.73,84101.27,1.0604823949340727,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,0,workload:stress:futex:ops_total_per_s,ops/s,79305.26666666666,84101.83333333333,1.0604823218970745,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,0,workload:stress:kill:ops_s,ops/s,30638.86,28287.44,0.923253671970824,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,0,workload:stress:kill:ops_total_per_s,ops/s,30639.1,28287.966666666667,0.9232636293711848,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,0,workload:stress:prctl:ops_s,ops/s,363.03,299.23,0.8242569484615597,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,0,workload:stress:prctl:ops_total_per_s,ops/s,363.03333333333336,299.23333333333335,0.8242585621155082,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,0,workload:stress:set:ops_s,ops/s,5530.3,5285.3,0.9556986058622498,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,0,workload:stress:set:ops_total_per_s,ops/s,5530.333333333333,5285.3,0.9556928455186547,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,0,workload:stress:sigfd:ops_s,ops/s,169138.33,161010.81,0.951947497648818,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,0,workload:stress:sigfd:ops_total_per_s,ops/s,169140.23333333334,161012.13333333333,0.9519446092758928,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,1,workload:stress:cap:ops_s,ops/s,70700.74,66646.95,0.9426626934880737,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,1,workload:stress:cap:ops_total_per_s,ops/s,70700.73333333334,66646.96666666666,0.9426630181110802,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,1,workload:stress:eventfd:ops_s,ops/s,37164.6,36961.9,0.9945458850626673,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,1,workload:stress:eventfd:ops_total_per_s,ops/s,37164.566666666666,36962.166666666664,0.9945539523757844,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,1,workload:stress:futex:ops_s,ops/s,81369.82,83031.01,1.0204153087717287,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,1,workload:stress:futex:ops_total_per_s,ops/s,81371.66666666667,83031.33333333333,1.0203961247772566,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,1,workload:stress:kill:ops_s,ops/s,29917.36,27212.32,0.9095829311142427,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,1,workload:stress:kill:ops_total_per_s,ops/s,29917.7,27212.5,0.9095786106552308,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,1,workload:stress:prctl:ops_s,ops/s,303.86,310.89,1.023135654577766,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,1,workload:stress:prctl:ops_total_per_s,ops/s,303.8666666666667,310.9,1.0231461167178586,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,1,workload:stress:set:ops_s,ops/s,5659.12,5319.18,0.9399305899150399,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,1,workload:stress:set:ops_total_per_s,ops/s,5659.133333333333,5319.2,0.9399319094796612,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,1,workload:stress:sigfd:ops_s,ops/s,166517.62,159754.75,0.9593864601235593,True,3,30.0,2026-05-25T04:21:56.848145+00:00
