dataset,root,app,workload,baseline_avg_ns_per_run_total,post_avg_ns_per_run_total,ratio_post_over_baseline,baseline_runs,post_runs,baseline_triggered,post_triggered,baseline_retained_100,post_retained_100,baseline_program_count,post_program_count,baseline_total_jited_bytes,post_total_jited_bytes,bpf_stats,samples,workload_seconds,generated_at
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,bcc/set,stress_ng_bcc_hook_hot,104.30768119738192,103.69479471215142,0.9941242439847672,1325857857,1321155986,17,17,15,15,25,25,7861,10125,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,stress_ng_tracee_syscall_hot,321.3717304267673,328.20088986128945,1.0212500316236695,1292564564,1257689275,62,65,40,40,167,167,2068080,1847423,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tetragon/observer,stress_ng_tetragon_policy_hot,754.9802825456226,5167.268330966117,6.84424275762972,363330421,120484007,19,27,11,17,172,212,1562640,1477808,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,otelcol-ebpf-profiler/profiling,otel_mixed_workload,3178.701942431611,214.39330981523554,0.06744681121352043,71058615,72323593,2,2,1,1,13,13,167430,312097,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,katran,xdp_pktgen,171.3727691763353,136.27115769207182,0.7951739260970603,221993902,248767256,1,1,1,1,1,1,13629,10321,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,cilium/agent,cilium_endpoint_pktgen,677.1079722150124,290.5126247583104,0.42904918665772185,120083264,298326820,8,5,2,2,52,71,220724,398459,True,3,30.0,2026-05-25T04:21:56.848145+00:00
full6_stats_off_prefix,corpus/results/x86_kvm_corpus_20260525_043133_695517,bcc/set,stress_ng_bcc_hook_hot,,,,0,0,0,0,0,0,25,25,7861,10125,False,3,30.0,2026-05-25T04:59:47.966901+00:00
full6_stats_off_prefix,corpus/results/x86_kvm_corpus_20260525_043133_695517,tracee/monitor,stress_ng_tracee_syscall_hot,,,,0,0,0,0,0,0,167,167,2068080,1847423,False,3,30.0,2026-05-25T04:59:47.966901+00:00
full6_stats_off_prefix,corpus/results/x86_kvm_corpus_20260525_043133_695517,tetragon/observer,stress_ng_tetragon_policy_hot,,,,0,0,0,0,0,0,173,212,1484612,1519859,False,3,30.0,2026-05-25T04:59:47.966901+00:00
full6_stats_off_prefix,corpus/results/x86_kvm_corpus_20260525_043133_695517,otelcol-ebpf-profiler/profiling,otel_mixed_workload,,,,0,0,0,0,0,0,13,13,167430,312097,False,3,30.0,2026-05-25T04:59:47.966901+00:00
full6_stats_off_prefix,corpus/results/x86_kvm_corpus_20260525_043133_695517,katran,xdp_pktgen,,,,0,0,0,0,0,0,1,1,13629,10321,False,3,30.0,2026-05-25T04:59:47.966901+00:00
full6_stats_off_prefix,corpus/results/x86_kvm_corpus_20260525_043133_695517,cilium/agent,cilium_endpoint_pktgen,,,,0,0,0,0,0,0,52,90,233169,492854,False,3,30.0,2026-05-25T04:59:47.966901+00:00
tetragon_postfix_smoke_stats_on,corpus/results/x86_kvm_corpus_20260526_024856_120489,tetragon/observer,stress_ng_tetragon_policy_hot,424.92787905302487,150.0114946034641,0.3530281301800507,26571975,46883131,21,19,12,13,175,168,1485973,1095298,True,1,5.0,2026-05-26T02:50:25.397754+00:00
bcc_postfix_smoke_stats_off,corpus/results/x86_kvm_corpus_20260526_030917_287805,bcc/set,stress_ng_bcc_hook_hot,,,,0,0,0,0,0,0,25,25,7861,9232,False,1,5.0,2026-05-26T03:10:12.423191+00:00
