dataset,root,app,metric_count,geomean_ratio_post_over_baseline,median_ratio_post_over_baseline,min_ratio,max_ratio
bcc_postfix_smoke_stats_off,corpus/results/x86_kvm_corpus_20260526_030917_287805,bcc/set,8,0.9865332566507856,1.0113350119846083,0.8968565815324165,1.032557512926776
full6_stats_off_prefix,corpus/results/x86_kvm_corpus_20260525_043133_695517,bcc/set,24,0.7866337729147992,1.0007176359809353,0.058976274321488276,1.0086770623742456
full6_stats_off_prefix,corpus/results/x86_kvm_corpus_20260525_043133_695517,cilium/agent,6,2.642608515787482,2.644115007301479,2.5806913742761717,2.689643735427312
full6_stats_off_prefix,corpus/results/x86_kvm_corpus_20260525_043133_695517,katran,3,0.09157050409346508,0.6939028324277533,0.0007618400621118012,1.452460558452703
full6_stats_off_prefix,corpus/results/x86_kvm_corpus_20260525_043133_695517,otelcol-ebpf-profiler/profiling,36,1.917768584249886,1.504236760248855,0.9806752491406027,13.978985712393694
full6_stats_off_prefix,corpus/results/x86_kvm_corpus_20260525_043133_695517,tetragon/observer,36,0.3187607347187364,0.26750434672920304,0.17019253666201747,0.8737245065293197
full6_stats_off_prefix,corpus/results/x86_kvm_corpus_20260525_043133_695517,tracee/monitor,42,0.9305982180264831,0.9491221269143748,0.5621192721264672,1.0396578647214587
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,bcc/set,24,0.9957646216138653,0.9991976213778687,0.9790756050546155,1.0042592014202818
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,cilium/agent,6,2.484917674773751,2.4794809406497125,2.46413668834979,2.516512575442852
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,katran,3,1.1061312073754033,1.1045959251485487,1.0990054346915674,1.11485056688962
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,otelcol-ebpf-profiler/profiling,36,1.8985702786176353,1.51978730508572,1.141961185201518,7.456332926522919
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tetragon/observer,36,0.33447983576063467,0.31479741076075285,0.17462852635920476,0.8635170603674541
full6_stats_on_prefix,corpus/results/x86_kvm_corpus_20260525_035337_555709,tracee/monitor,42,0.9617398091892957,0.9579011884644768,0.8242569484615597,1.0604823949340727
tetragon_postfix_smoke_stats_on,corpus/results/x86_kvm_corpus_20260526_024856_120489,tetragon/observer,12,2.5161471428569024,1.9301661303142348,1.6502523116559589,6.833880978459292
