result_dir	arch	hint	sample_index	exec_ns	wall_exec_ns	exec_cycles	bpf_bytes	native_bytes	result
aws_x86_micro_20260602_221811_212815	x86	t1	0	9376	39982	99955	2112	1037	2999102902642040864
aws_x86_micro_20260602_221811_212815	x86	t1	1	9360	39987	99967	2112	1037	2999102902642040864
aws_x86_micro_20260602_221811_212815	x86	t1	2	9461	39982	99954	2112	1037	2999102902642040864
aws_x86_micro_20260602_222526_406675	x86	nta	0	36754	70007	175016	2112	1037	2999102902642040864
aws_arm64_micro_20260602_223212_019101	arm64	pldl2keep	0	18780			2112	1280	2999102902642040864
aws_arm64_micro_20260602_223911_428229	arm64	pldl1strm	0	16374			2112	1280	2999102902642040864
