arch	case	variant	samples	mean_exec_ns	median_exec_ns	stdev_exec_ns	cv_exec_ns	treatment_control_mean	treatment_control_median	native_bytes	bpf_bytes	mean_cycles	mean_task_clock_ns	mean_wall_exec_ns	result	retval	result_dir	instance_id	perf_error
arm64	prefetch_pipeline_horizon1_page_stride	control	7	18256.857143	18780.000000	768.780729	0.042109	1.000000	1.000000	1360	2168	47342523.857143	19012062.428571		8200235001385007165	2	aws_arm64_micro_20260603_000024_733232	i-01af36978832248d6	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
arm64	prefetch_pipeline_horizon2_page_stride	control	7	19762.571429	19759.000000	98.581366	0.004988	1.000000	1.000000	1400	2288	49409011.142857	19846364.000000		12113551532357501091	2	aws_arm64_micro_20260603_000024_733232	i-01af36978832248d6	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
arm64	prefetch_pipeline_horizon4_page_stride	control	7	18328.285714	18325.000000	103.977104	0.005673	1.000000	1.000000	1328	2200	45807677.714286	18404148.000000		12596034509844469521	2	aws_arm64_micro_20260603_000024_733232	i-01af36978832248d6	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
arm64	prefetch_pipeline_degree_page_stride	control	7	21603.857143	21640.000000	191.054467	0.008844	1.000000	1.000000	1512	2480	53860854.142857	21684080.285714		13849133591390902369	2	aws_arm64_micro_20260603_000024_733232	i-01af36978832248d6	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
arm64	prefetch_pipeline_horizon1_page_stride	l1keep	7	18343.714286	18313.000000	161.651595	0.008812	1.004758	0.975133	1360	2184	45868809.000000	18403039.142857		8200235001385007165	2	aws_arm64_micro_20260603_000849_265322	i-0f52147d44fa3c562	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
arm64	prefetch_pipeline_horizon2_page_stride	l1keep	7	18872.714286	18868.000000	113.970339	0.006039	0.954973	0.954907	1408	2304	47166995.428571	18936492.428571		12113551532357501091	2	aws_arm64_micro_20260603_000849_265322	i-0f52147d44fa3c562	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
arm64	prefetch_pipeline_horizon4_page_stride	l1keep	7	17679.285714	17682.000000	124.027839	0.007015	0.964590	0.964911	1328	2216	44218417.428571	17744874.714286		12596034509844469521	2	aws_arm64_micro_20260603_000849_265322	i-0f52147d44fa3c562	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
arm64	prefetch_pipeline_degree_page_stride	l1keep	7	21216.571429	21182.000000	265.886478	0.012532	0.982073	0.978835	1528	2528	53026851.142857	21265693.714286		13849133591390902369	2	aws_arm64_micro_20260603_000849_265322	i-0f52147d44fa3c562	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
arm64	prefetch_pipeline_horizon1_page_stride	l1strm	7	19098.714286	18597.000000	1423.472364	0.074532	1.046112	0.990256	1360	2184	46309752.142857	19177848.285714		8200235001385007165	2	aws_arm64_micro_20260603_001622_048610	i-0a9107b67af809948	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
arm64	prefetch_pipeline_horizon2_page_stride	l1strm	7	18922.428571	18910.000000	128.723032	0.006803	0.957488	0.957032	1408	2304	47323256.857143	19000214.571429		12113551532357501091	2	aws_arm64_micro_20260603_001622_048610	i-0a9107b67af809948	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
arm64	prefetch_pipeline_horizon4_page_stride	l1strm	7	17718.142857	17714.000000	174.313347	0.009838	0.966710	0.966658	1328	2216	44272007.857143	17792390.285714		12596034509844469521	2	aws_arm64_micro_20260603_001622_048610	i-0a9107b67af809948	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
arm64	prefetch_pipeline_degree_page_stride	l1strm	7	21625.714286	21415.000000	786.417132	0.036365	1.001012	0.989603	1528	2528	53183845.428571	21711930.428571		13849133591390902369	2	aws_arm64_micro_20260603_001622_048610	i-0a9107b67af809948	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
arm64	prefetch_pipeline_horizon1_page_stride	l2keep	7	19217.857143	19218.000000	202.745677	0.010550	1.052638	1.023323	1360	2184	48036583.000000	19293424.285714		8200235001385007165	2	aws_arm64_micro_20260603_002356_463384	i-09c003b7d31b96d3a	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
arm64	prefetch_pipeline_horizon2_page_stride	l2keep	7	19830.000000	19646.000000	706.304703	0.035618	1.003412	0.994281	1408	2304	49504260.142857	19911774.714286		12113551532357501091	2	aws_arm64_micro_20260603_002356_463384	i-09c003b7d31b96d3a	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
arm64	prefetch_pipeline_horizon4_page_stride	l2keep	7	18079.000000	18095.000000	164.004065	0.009072	0.986399	0.987449	1328	2216	45180454.857143	18152413.857143		12596034509844469521	2	aws_arm64_micro_20260603_002356_463384	i-09c003b7d31b96d3a	perf_event_open(instructions): No such file or directory; perf_event_open(branches): No such file or directory; perf_event_open(branch_misses): No such file or directory; perf_event_open(cache_references): No such file or directory; perf_event_open(cache_misses): No such file or directory
