instance_id	type	arch	launch	terminate	wall_seconds	compute_usd	ebs_usd	total_usd
i-0af46bc106a624c60	t3.small	x86_64	2026-06-02T22:19:42+00:00	2026-06-02 22:25:30 GMT	348	0.002011	0.000344	0.002355
i-0aa7d4c0357152367	t4g.small	arm64	2026-06-02T22:27:14+00:00	2026-06-02 22:32:16 GMT	302	0.001409	0.000298	0.001707
i-041a0bf3acff44d2d	t3.small	x86_64	2026-06-02T22:12:09+00:00	2026-06-02 22:18:16 GMT	367	0.002120	0.000362	0.002482
i-0a76908ddb783eb59	t4g.small	arm64	2026-06-02T22:33:33+00:00	2026-06-02 22:39:15 GMT	342	0.001596	0.000338	0.001934
