case	objects	kfunc_symbol_objects	kfunc_symbols	arm64_symbol_objects	arm64_symbols	x86_symbol_objects	x86_symbols	status
arm64-all-disable	29	0	0	0	0	0	0	completed
arm64-combined	29	26	47	26	47	0	0	completed
x86-scoped	29	24	37	0	0	24	37	completed
