group	runtime	benchmarks	samples	bad_samples	status
baseline	kernel	34	102	0	pass
baseline	native	34	102	0	pass
control-disabled	kernel	34	102	0	pass
control-disabled	native	34	102	0	pass
treatment-rev-unary	kernel	34	102	0	pass
treatment-rev-unary	native	34	102	0	pass
treatment-extr-rotate	kernel	34	102	0	pass
treatment-extr-rotate	native	34	102	0	pass
treatment-ubfm-bextr	kernel	34	102	0	pass
treatment-ubfm-bextr	native	34	102	0	pass
treatment-ldr-wide-load	kernel	34	102	0	pass
treatment-ldr-wide-load	native	34	102	0	pass
treatment-ldr-direct-load	kernel	34	102	0	pass
treatment-ldr-direct-load	native	34	102	0	pass
treatment-str-direct-store	kernel	34	102	0	pass
treatment-str-direct-store	native	34	102	0	pass
treatment-ldp-stp-pair-mem	kernel	34	102	0	pass
treatment-ldp-stp-pair-mem	native	34	102	0	pass
treatment-csel-cmov	kernel	34	102	0	pass
treatment-csel-cmov	native	34	102	0	pass
treatment-ccmp	kernel	34	102	0	pass
treatment-ccmp	native	34	102	0	pass
treatment-mov	kernel	34	102	0	pass
treatment-mov	native	34	102	0	pass
treatment-prfm	kernel	34	102	0	pass
treatment-prfm	native	34	102	0	pass
