group	family	unique_kfuncs	symbol_refs	objects	benchmarks	kfuncs
control-disabled	REV	0	0	0	0	
control-disabled	EXTR	0	0	0	0	
control-disabled	UBFM	0	0	0	0	
control-disabled	LDR	0	0	0	0	
control-disabled	STR	0	0	0	0	
control-disabled	LDP/STP	0	0	0	0	
control-disabled	CSEL	0	0	0	0	
control-disabled	CCMP/CMP/CSET	0	0	0	0	
control-disabled	PRFM	0	0	0	0	
control-disabled	MOV	0	0	0	0	
treatment-rev-unary	REV	2	2	1	1	bpf_arm64_rev16_w,bpf_arm64_rev_w
treatment-rev-unary	EXTR	0	0	0	0	
treatment-rev-unary	UBFM	0	0	0	0	
treatment-rev-unary	LDR	0	0	0	0	
treatment-rev-unary	STR	0	0	0	0	
treatment-rev-unary	LDP/STP	0	0	0	0	
treatment-rev-unary	CSEL	0	0	0	0	
treatment-rev-unary	CCMP/CMP/CSET	0	0	0	0	
treatment-rev-unary	PRFM	0	0	0	0	
treatment-rev-unary	MOV	0	0	0	0	
treatment-extr-rotate	REV	0	0	0	0	
treatment-extr-rotate	EXTR	2	10	10	10	bpf_arm64_extr_w,bpf_arm64_extr_x
treatment-extr-rotate	UBFM	0	0	0	0	
treatment-extr-rotate	LDR	0	0	0	0	
treatment-extr-rotate	STR	0	0	0	0	
treatment-extr-rotate	LDP/STP	0	0	0	0	
treatment-extr-rotate	CSEL	0	0	0	0	
treatment-extr-rotate	CCMP/CMP/CSET	0	0	0	0	
treatment-extr-rotate	PRFM	0	0	0	0	
treatment-extr-rotate	MOV	0	0	0	0	
treatment-ubfm-bextr	REV	0	0	0	0	
treatment-ubfm-bextr	EXTR	0	0	0	0	
treatment-ubfm-bextr	UBFM	1	12	12	12	bpf_arm64_ubfm_x
treatment-ubfm-bextr	LDR	0	0	0	0	
treatment-ubfm-bextr	STR	0	0	0	0	
treatment-ubfm-bextr	LDP/STP	0	0	0	0	
treatment-ubfm-bextr	CSEL	0	0	0	0	
treatment-ubfm-bextr	CCMP/CMP/CSET	0	0	0	0	
treatment-ubfm-bextr	PRFM	0	0	0	0	
treatment-ubfm-bextr	MOV	0	0	0	0	
treatment-ldr-wide-load	REV	0	0	0	0	
treatment-ldr-wide-load	EXTR	0	0	0	0	
treatment-ldr-wide-load	UBFM	0	0	0	0	
treatment-ldr-wide-load	LDR	3	27	24	24	bpf_arm64_ldr_w,bpf_arm64_ldr_x,bpf_arm64_ldrh
treatment-ldr-wide-load	STR	0	0	0	0	
treatment-ldr-wide-load	LDP/STP	0	0	0	0	
treatment-ldr-wide-load	CSEL	0	0	0	0	
treatment-ldr-wide-load	CCMP/CMP/CSET	0	0	0	0	
treatment-ldr-wide-load	PRFM	0	0	0	0	
treatment-ldr-wide-load	MOV	0	0	0	0	
treatment-ldr-direct-load	REV	0	0	0	0	
treatment-ldr-direct-load	EXTR	0	0	0	0	
treatment-ldr-direct-load	UBFM	0	0	0	0	
treatment-ldr-direct-load	LDR	4	5	2	2	bpf_arm64_ldr_w,bpf_arm64_ldr_x,bpf_arm64_ldrb,bpf_arm64_ldrh
treatment-ldr-direct-load	STR	0	0	0	0	
treatment-ldr-direct-load	LDP/STP	0	0	0	0	
treatment-ldr-direct-load	CSEL	0	0	0	0	
treatment-ldr-direct-load	CCMP/CMP/CSET	0	0	0	0	
treatment-ldr-direct-load	PRFM	0	0	0	0	
treatment-ldr-direct-load	MOV	0	0	0	0	
treatment-str-direct-store	REV	0	0	0	0	
treatment-str-direct-store	EXTR	0	0	0	0	
treatment-str-direct-store	UBFM	0	0	0	0	
treatment-str-direct-store	LDR	0	0	0	0	
treatment-str-direct-store	STR	4	5	2	2	bpf_arm64_str_w,bpf_arm64_str_x,bpf_arm64_strb,bpf_arm64_strh
treatment-str-direct-store	LDP/STP	0	0	0	0	
treatment-str-direct-store	CSEL	0	0	0	0	
treatment-str-direct-store	CCMP/CMP/CSET	0	0	0	0	
treatment-str-direct-store	PRFM	0	0	0	0	
treatment-str-direct-store	MOV	0	0	0	0	
treatment-ldp-stp-pair-mem	REV	0	0	0	0	
treatment-ldp-stp-pair-mem	EXTR	0	0	0	0	
treatment-ldp-stp-pair-mem	UBFM	0	0	0	0	
treatment-ldp-stp-pair-mem	LDR	0	0	0	0	
treatment-ldp-stp-pair-mem	STR	0	0	0	0	
treatment-ldp-stp-pair-mem	LDP/STP	2	2	2	2	bpf_arm64_ldp_x,bpf_arm64_stp_x
treatment-ldp-stp-pair-mem	CSEL	0	0	0	0	
treatment-ldp-stp-pair-mem	CCMP/CMP/CSET	0	0	0	0	
treatment-ldp-stp-pair-mem	PRFM	0	0	0	0	
treatment-ldp-stp-pair-mem	MOV	0	0	0	0	
treatment-csel-cmov	REV	0	0	0	0	
treatment-csel-cmov	EXTR	0	0	0	0	
treatment-csel-cmov	UBFM	0	0	0	0	
treatment-csel-cmov	LDR	0	0	0	0	
treatment-csel-cmov	STR	0	0	0	0	
treatment-csel-cmov	LDP/STP	0	0	0	0	
treatment-csel-cmov	CSEL	1	1	1	1	bpf_arm64_csel_ne
treatment-csel-cmov	CCMP/CMP/CSET	1	1	1	1	bpf_arm64_tst
treatment-csel-cmov	PRFM	0	0	0	0	
treatment-csel-cmov	MOV	0	0	0	0	
treatment-ccmp	REV	0	0	0	0	
treatment-ccmp	EXTR	0	0	0	0	
treatment-ccmp	UBFM	0	0	0	0	
treatment-ccmp	LDR	0	0	0	0	
treatment-ccmp	STR	0	0	0	0	
treatment-ccmp	LDP/STP	0	0	0	0	
treatment-ccmp	CSEL	0	0	0	0	
treatment-ccmp	CCMP/CMP/CSET	3	6	2	2	bpf_arm64_ccmp_w,bpf_arm64_cmp_w,bpf_arm64_cset_x_cond
treatment-ccmp	PRFM	0	0	0	0	
treatment-ccmp	MOV	0	0	0	0	
treatment-mov	REV	0	0	0	0	
treatment-mov	EXTR	0	0	0	0	
treatment-mov	UBFM	0	0	0	0	
treatment-mov	LDR	0	0	0	0	
treatment-mov	STR	0	0	0	0	
treatment-mov	LDP/STP	0	0	0	0	
treatment-mov	CSEL	0	0	0	0	
treatment-mov	CCMP/CMP/CSET	0	0	0	0	
treatment-mov	PRFM	0	0	0	0	
treatment-mov	MOV	0	0	0	0	
treatment-prfm	REV	0	0	0	0	
treatment-prfm	EXTR	0	0	0	0	
treatment-prfm	UBFM	0	0	0	0	
treatment-prfm	LDR	0	0	0	0	
treatment-prfm	STR	0	0	0	0	
treatment-prfm	LDP/STP	0	0	0	0	
treatment-prfm	CSEL	0	0	0	0	
treatment-prfm	CCMP/CMP/CSET	0	0	0	0	
treatment-prfm	PRFM	1	33	33	33	bpf_arm64_prfm_pldl1keep
treatment-prfm	MOV	0	0	0	0	
