group	compare_to	runtime	scope	benchmarks	geomean_ratio	faster_pct
baseline	control-disabled	kernel	all	34	0.9980266664894517	0.1973333510548292
baseline	control-disabled	kernel	affected	0		
baseline	control-disabled	kernel	unaffected	34	0.9980266664894517	0.1973333510548292
baseline	control-disabled	native	all	34	0.9948744880166218	0.5125511983378184
baseline	control-disabled	native	affected	0		
baseline	control-disabled	native	unaffected	34	0.9948744880166218	0.5125511983378184
treatment-rev-unary	control-disabled	kernel	all	34	1.0118962669573	-1.189626695729995
treatment-rev-unary	control-disabled	kernel	affected	1	1.0163934426229508	-1.6393442622950838
treatment-rev-unary	control-disabled	kernel	unaffected	33	1.011760299978828	-1.1760299978827993
treatment-rev-unary	control-disabled	native	all	34	0.9997023511011912	0.029764889880878886
treatment-rev-unary	control-disabled	native	affected	1	1.037037037037037	-3.703703703703698
treatment-rev-unary	control-disabled	native	unaffected	33	0.9985922278076333	0.1407772192366652
treatment-extr-rotate	control-disabled	kernel	all	34	0.9822825640486741	1.771743595132591
treatment-extr-rotate	control-disabled	kernel	affected	10	0.9203570476098456	7.96429523901544
treatment-extr-rotate	control-disabled	kernel	unaffected	24	1.0092989170101898	-0.9298917010189811
treatment-extr-rotate	control-disabled	native	all	34	0.9923846805582598	0.7615319441740209
treatment-extr-rotate	control-disabled	native	affected	10	0.9820784680766635	1.7921531923336453
treatment-extr-rotate	control-disabled	native	unaffected	24	0.9967107920340966	0.32892079659033735
treatment-ubfm-bextr	control-disabled	kernel	all	34	1.0025498509172028	-0.2549850917202834
treatment-ubfm-bextr	control-disabled	kernel	affected	12	0.9998677028531903	0.013229714680973448
treatment-ubfm-bextr	control-disabled	kernel	unaffected	22	1.0040158720875065	-0.40158720875065335
treatment-ubfm-bextr	control-disabled	native	all	34	0.9987717846448736	0.12282153551264052
treatment-ubfm-bextr	control-disabled	native	affected	12	0.9990479097395423	0.09520902604577275
treatment-ubfm-bextr	control-disabled	native	unaffected	22	0.9986212031251965	0.13787968748034674
treatment-ldr-wide-load	control-disabled	kernel	all	34	0.9699224864416509	3.007751355834909
treatment-ldr-wide-load	control-disabled	kernel	affected	24	0.9694905385363538	3.0509461463646192
treatment-ldr-wide-load	control-disabled	kernel	unaffected	10	0.9709599467758964	2.9040053224103635
treatment-ldr-wide-load	control-disabled	native	all	34	1.0095379607631407	-0.9537960763140729
treatment-ldr-wide-load	control-disabled	native	affected	24	1.0239679333484113	-2.3967933348411297
treatment-ldr-wide-load	control-disabled	native	unaffected	10	0.9757302469693683	2.4269753030631724
treatment-ldr-direct-load	control-disabled	kernel	all	34	0.9884293068650234	1.1570693134976606
treatment-ldr-direct-load	control-disabled	kernel	affected	2	0.9759000729485332	2.4099927051466796
treatment-ldr-direct-load	control-disabled	kernel	unaffected	32	0.9892177036893842	1.078229631061578
treatment-ldr-direct-load	control-disabled	native	all	34	0.9973928965475758	0.26071034524242087
treatment-ldr-direct-load	control-disabled	native	affected	2	0.9128709291752769	8.71290708247231
treatment-ldr-direct-load	control-disabled	native	unaffected	32	1.0029281627613174	-0.29281627613173544
treatment-str-direct-store	control-disabled	kernel	all	34	0.9990482416953752	0.09517583046247946
treatment-str-direct-store	control-disabled	kernel	affected	2	1.0	0.0
treatment-str-direct-store	control-disabled	kernel	unaffected	32	0.9989887868871331	0.10112131128668933
treatment-str-direct-store	control-disabled	native	all	34	1.0081773449427658	-0.8177344942765785
treatment-str-direct-store	control-disabled	native	affected	2	1.1710800875382399	-17.108008753823988
treatment-str-direct-store	control-disabled	native	unaffected	32	0.9987834332919814	0.12165667080186182
treatment-ldp-stp-pair-mem	control-disabled	kernel	all	34	0.9964594912735394	0.35405087264606117
treatment-ldp-stp-pair-mem	control-disabled	kernel	affected	2	0.9988655696858586	0.11344303141413992
treatment-ldp-stp-pair-mem	control-disabled	kernel	unaffected	32	0.9963093039560789	0.3690696043921138
treatment-ldp-stp-pair-mem	control-disabled	native	all	34	1.0057769792187172	-0.5776979218717226
treatment-ldp-stp-pair-mem	control-disabled	native	affected	2	1.0954451150103321	-9.544511501033215
treatment-ldp-stp-pair-mem	control-disabled	native	unaffected	32	1.0004229194974636	-0.04229194974636474
treatment-csel-cmov	control-disabled	kernel	all	34	0.9877155605653811	1.2284439434618877
treatment-csel-cmov	control-disabled	kernel	affected	1	0.9285714285714286	7.14285714285714
treatment-csel-cmov	control-disabled	kernel	unaffected	33	0.9895654398771866	1.0434560122813408
treatment-csel-cmov	control-disabled	native	all	34	0.9915677941996784	0.8432205800321557
treatment-csel-cmov	control-disabled	native	affected	1	1.0	0.0
treatment-csel-cmov	control-disabled	native	unaffected	33	0.9913133857997061	0.868661420029393
treatment-ccmp	control-disabled	kernel	all	34	0.9958660527255991	0.4133947274400862
treatment-ccmp	control-disabled	kernel	affected	2	1.007685031380669	-0.7685031380668894
treatment-ccmp	control-disabled	kernel	unaffected	32	0.9951319862409588	0.4868013759041223
treatment-ccmp	control-disabled	native	all	34	1.0024427561261207	-0.24427561261206598
treatment-ccmp	control-disabled	native	affected	2	1.0	0.0
treatment-ccmp	control-disabled	native	unaffected	32	1.0025956263578968	-0.25956263578967853
treatment-mov	control-disabled	kernel	all	34	0.9983933245483043	0.16066754516956827
treatment-mov	control-disabled	kernel	affected	0		
treatment-mov	control-disabled	kernel	unaffected	34	0.9983933245483043	0.16066754516956827
treatment-mov	control-disabled	native	all	34	0.9996617702826203	0.03382297173797344
treatment-mov	control-disabled	native	affected	0		
treatment-mov	control-disabled	native	unaffected	34	0.9996617702826203	0.03382297173797344
treatment-prfm	control-disabled	kernel	all	34	1.0094341187574114	-0.9434118757411403
treatment-prfm	control-disabled	kernel	affected	33	1.0096566275888932	-0.9656627588893185
treatment-prfm	control-disabled	kernel	unaffected	1	1.0021187723227798	-0.2118772322779794
treatment-prfm	control-disabled	native	all	34	0.9951795889099825	0.4820411090017518
treatment-prfm	control-disabled	native	affected	33	0.9945900865412964	0.5409913458703564
treatment-prfm	control-disabled	native	unaffected	1	1.0148304272849205	-1.4830427284920455
