group	policy_family	affected_benchmarks	arm64_symbol_refs	x86_symbol_refs	kernel_all_geomean_ratio	kernel_all_faster_pct	kernel_affected_geomean_ratio	kernel_affected_faster_pct	native_all_geomean_ratio	native_all_faster_pct	object_families_observed
treatment-rev-unary	REV / unary=force	1	2	0	1.0118962669573	-1.189626695729995	1.0163934426229508	-1.6393442622950838	0.9997023511011912	0.029764889880878886	REV:2
treatment-extr-rotate	EXTR / rotate=force	10	10	0	0.9822825640486741	1.771743595132591	0.9203570476098456	7.96429523901544	0.9923846805582598	0.7615319441740209	EXTR:10
treatment-ubfm-bextr	UBFM / bextr=force	12	12	0	1.0025498509172028	-0.2549850917202834	0.9998677028531903	0.013229714680973448	0.9987717846448736	0.12282153551264052	UBFM:12
treatment-ldr-wide-load	LDR / wide-load=force	24	27	0	0.9699224864416509	3.007751355834909	0.9694905385363538	3.0509461463646192	1.0095379607631407	-0.9537960763140729	LDR:27
treatment-ldr-direct-load	LDR / direct-load=force	2	5	0	0.9884293068650234	1.1570693134976606	0.9759000729485332	2.4099927051466796	0.9973928965475758	0.26071034524242087	LDR:5
treatment-str-direct-store	STR / direct-store=force	2	5	0	0.9990482416953752	0.09517583046247946	1.0	0.0	1.0081773449427658	-0.8177344942765785	STR:5
treatment-ldp-stp-pair-mem	LDP/STP / pair-mem=force	2	2	0	0.9964594912735394	0.35405087264606117	0.9988655696858586	0.11344303141413992	1.0057769792187172	-0.5776979218717226	LDP/STP:2
treatment-csel-cmov	CSEL / cmov=force	1	2	0	0.9877155605653811	1.2284439434618877	0.9285714285714286	7.14285714285714	0.9915677941996784	0.8432205800321557	CSEL:1,CCMP/CMP/CSET:1
treatment-ccmp	CCMP/CMP/CSET / ccmp=force	2	6	0	0.9958660527255991	0.4133947274400862	1.007685031380669	-0.7685031380668894	1.0024427561261207	-0.24427561261206598	CCMP/CMP/CSET:6
treatment-mov	MOV / mov=force	0	0	0	0.9983933245483043	0.16066754516956827			0.9996617702826203	0.03382297173797344	
treatment-prfm	PRFM / prefetch=force	33	33	0	1.0094341187574114	-0.9434118757411403	1.0096566275888932	-0.9656627588893185	0.9951795889099825	0.4820411090017518	PRFM:33
