group	benchmark	affected_by_group_symbols	families	control_median_exec_ns	group_median_exec_ns	ratio
treatment-ldr-wide-load	packet_record_bounds_window	yes	LDR	343	199	0.5801749271137027
treatment-ldr-wide-load	csel_select64	yes	LDR	28	17	0.6071428571428571
treatment-extr-rotate	siphash_rotate64_mixer	yes	EXTR	160	107	0.66875
treatment-extr-rotate	flow_5tuple_rss_hash	yes	EXTR	48	38	0.7916666666666666
treatment-ldr-wide-load	simple	no		15	13	0.8666666666666667
treatment-ldr-direct-load	simple	no		15	13	0.8666666666666667
treatment-ldp-stp-pair-mem	simple	no		15	13	0.8666666666666667
treatment-csel-cmov	simple	no		15	13	0.8666666666666667
treatment-ldr-wide-load	siphash_rotate64_mixer	yes	LDR	160	139	0.86875
treatment-csel-cmov	ccmp_all_nonzero	no		17	15	0.8823529411764706
treatment-prfm	packet_toeplitz_rss_hash	yes	PRFM	525	470	0.8952380952380953
treatment-ldr-direct-load	packet_toeplitz_rss_hash	no		525	472	0.8990476190476191
treatment-csel-cmov	stp_stack_pair	no		21	19	0.9047619047619048
treatment-ccmp	packet_toeplitz_rss_hash	no		525	478	0.9104761904761904
treatment-mov	packet_toeplitz_rss_hash	no		525	479	0.9123809523809524
treatment-ldp-stp-pair-mem	packet_toeplitz_rss_hash	no		525	480	0.9142857142857143
treatment-ldr-wide-load	simple_packet	no		14	13	0.9285714285714286
treatment-ldr-direct-load	simple_packet	no		14	13	0.9285714285714286
treatment-ldp-stp-pair-mem	csel_select64	no		28	26	0.9285714285714286
treatment-ldp-stp-pair-mem	simple_packet	no		14	13	0.9285714285714286
treatment-csel-cmov	csel_select64	yes	CCMP/CMP/CSET,CSEL	28	26	0.9285714285714286
treatment-csel-cmov	simple_packet	no		14	13	0.9285714285714286
treatment-ldr-wide-load	bpf_local_call_fanout_dispatch	yes	LDR	325	303	0.9323076923076923
treatment-extr-rotate	simple	no		15	14	0.9333333333333333
treatment-ccmp	simple	no		15	14	0.9333333333333333
treatment-mov	simple	no		15	14	0.9333333333333333
